
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2020-04-06;43.467,03;6612138301563;45.894,63;6809256906792;41.931,91;9645805090856;45.150,49;2148429526022;70.175,67;921218999187;41.398,03;5154950430767;46.395,65;21156808412
2020-04-07;43.547,88;6305564476250;45.984,91;6477232592123;42.011,07;9180882569951;45.247,95;2045943613559;70.341,51;884574169244;41.531,15;4913939827732;46.545,02;20169940715
2020-04-08;43.576,81;5985341366369;46.015,97;6141081090247;42.025,27;8700091246431;45.267,14;1958939558858;70.377,29;870661073116;41.561,77;4799620930112;46.582,88;19176606167
2020-04-09;43.826,30;5839050554043;46.338,52;5955650648417;42.199,35;8272390647706;45.525,96;1897600204528;70.744,80;870359326130;41.809,21;4789600960285;46.895,41;18298558892
2020-04-10;43.826,30;5839050554043;46.338,52;5955650648417;42.199,35;8272390647706;45.525,96;1897600204528;70.744,80;870359326130;41.809,21;4789600960285;46.895,41;18298558892
2020-04-11;43.826,30;5839050554043;46.338,52;5955650648417;42.199,35;8272390647706;45.525,96;1897600204528;70.744,80;870359326130;41.809,21;4789600960285;46.895,41;18298558892
2020-04-12;43.826,30;5839050554043;46.338,52;5955650648417;42.199,35;8272390647706;45.525,96;1897600204528;70.744,80;870359326130;41.809,21;4789600960285;46.895,41;18298558892
2020-04-13;44.225,82;5843185446220;46.783,93;5966778994366;42.588,64;7920244078162;45.951,99;1855103859781;71.298,40;874945064945;42.232,88;4819714380148;47.346,35;17526483315
2020-04-14;44.349,58;5834778969770;46.897,10;5972923835266;42.712,29;7915131897576;46.059,02;1860426293456;71.427,70;876242445700;42.323,92;4828428617941;47.467,86;17268018298
2020-04-15;44.436,01;5858664233605;46.995,60;5978106001434;42.768,51;7932980880407;46.122,18;1862448523960;71.531,08;889751406815;42.415,63;4841080236609;47.468,73;24876014666
2020-04-16;44.562,59;5866628813980;47.042,27;5972530765703;42.852,66;7933100073612;46.152,10;1862290505706;71.639,58;891708751116;42.485,39;4846963331502;47.509,13;24617795602
2020-04-17;44.532,61;5843676297916;47.012,18;5947989608466;42.807,43;7878449579282;46.131,75;1857235424405;71.625,58;891579758502;42.503,05;4838897781070;47.483,36;24501111615
2020-04-18;44.532,61;5843676297916;47.012,18;5947989608466;42.807,43;7878449579282;46.131,75;1857235424405;71.625,58;891579758502;42.503,05;4838897781070;47.483,36;24501111615
2020-04-19;44.532,61;5843676297916;47.012,18;5947989608466;42.807,43;7878449579282;46.131,75;1857235424405;71.625,58;891579758502;42.503,05;4838897781070;47.483,36;24501111615
2020-04-20;44.701,54;5824177803424;47.172,72;5937875241729;42.964,05;7836745571784;46.295,14;1858344660286;71.859,62;894046300664;42.671,38;4846920939362;47.623,90;24602782158
2020-04-21;44.757,96;5794195372748;47.217,02;5902631896615;43.010,42;7772169341932;46.356,39;1850329042045;71.921,24;892133394920;42.734,07;4839853763891;47.633,41;24503009959
2020-04-22;44.770,42;5764819923396;47.216,07;5881488497908;42.988,63;7739258750995;46.344,54;1846184243651;71.927,09;891216541629;42.744,40;4832376367908;47.609,47;24632011095
2020-04-23;44.863,44;5747099841368;47.293,12;5871179653038;43.082,30;7720150625575;46.423,46;1845068782732;72.050,64;891451291408;42.837,09;4837725024099;47.675,41;24520189335
2020-04-24;45.024,44;5759977823974;47.452,66;5885786736020;43.211,59;7746191415253;46.604,21;1853116721032;72.288,20;893798355164;42.992,95;4853164201134;47.807,18;24492054206
2020-04-25;45.024,44;5759977823974;47.452,66;5885786736020;43.211,59;7746191415253;46.604,21;1853116721032;72.288,20;893798355164;42.992,95;4853164201134;47.807,18;24492054206
2020-04-26;45.024,44;5759977823974;47.452,66;5885786736020;43.211,59;7746191415253;46.604,21;1853116721032;72.288,20;893798355164;42.992,95;4853164201134;47.807,18;24492054206
2020-04-27;45.151,07;5809431686833;47.568,32;5913772876217;43.324,93;7810088241560;46.763,85;1865286332565;72.482,04;896751286811;43.106,63;4872030340939;47.959,16;24839203015
2020-04-28;45.336,04;5833323048569;47.771,62;5940491536950;43.513,54;7842464350419;47.007,46;1876675562104;72.780,10;900178608272;43.300,13;4893319518906;48.160,94;24887420866
2020-04-29;45.413,55;5828965067566;47.847,76;5941672700385;43.601,15;7850425508365;47.063,28;1878742283732;72.899,76;901194237010;43.407,65;4904163884263;48.215,33;25043226428
2020-04-30;45.488,71;5831309993597;47.913,89;5948793319898;43.685,47;7867437403221;47.169,15;1884032556460;73.026,85;902724873236;43.489,02;4914172352613;48.306,83;25124262441
2020-05-01;45.488,71;5831309993597;47.913,89;5948793319898;43.685,47;7867437403221;47.169,15;1884032556460;73.026,85;902724873236;43.489,02;4914172352613;48.306,83;25124262441
